model,task,seed,train_accuracy,test_accuracy,train_f1,test_f1
roberta-base,sst2,42,0.9637114136809752,0.9311926605504588,0.9671999141077948,0.931350114416476
roberta-base,sst2,43,0.978143699238296,0.930045871559633,0.9805022782663982,0.9324473975636768
roberta-base,sst2,44,0.9797472865224428,0.9369266055045872,0.981778834593497,0.9378531073446328
roberta-base,cola,44,0.945035668342884,0.822627037392138,0.9613359657782166,0.8783694937541091
roberta-base,cola,43,0.8929949713483804,0.8283796740172579,0.9254217947672998,0.8826229508196721
roberta-base,cola,42,0.9379019997661092,0.8312559923298178,0.9570214488061514,0.8863049095607234
roberta-base,mrpc,42,0.9604689203925844,0.9019607843137256,0.9705344442186548,0.9293286219081272
roberta-base,mrpc,43,0.9353871319520176,0.875,0.951642521934299,0.9084380610412928
roberta-base,mrpc,44,0.9299345692475464,0.8774509803921569,0.9473252715720436,0.9097472924187724
bert-base-uncased,mrpc,44,0.9143947655398036,0.8259803921568627,0.9357610474631752,0.875219683655536
bert-base-uncased,mrpc,43,0.9034896401308616,0.8504901960784313,0.9246808510638298,0.8876611418047882
bert-base-uncased,mrpc,42,0.9176663031624864,0.8529411764705882,0.9359898261975412,0.8901098901098902
bert-base-uncased,mrpc,41,0.8999454743729552,0.8235294117647058,0.9263791374122368,0.875
bert-base-uncased,sst2,41,0.9865031403584316,0.9220183486238532,0.9878969442780108,0.9246119733924612
bert-base-uncased,sst2,42,0.9743574514840606,0.9197247706422018,0.976981006331223,0.9220489977728284
bert-base-uncased,sst2,43,0.985775586868402,0.9277522935779816,0.987253858435338,0.9292929292929292
bert-base-uncased,cola,43,0.900362530698164,0.8101629913710451,0.9310568053083024,0.872093023255814
bert-base-uncased,cola,42,0.8897205005262543,0.8063279002876318,0.9252477209671026,0.8729559748427673
bert-base-uncased,cola,41,0.9495965384165594,0.8178331735378715,0.9650927350773467,0.8791348600508906
